sample_idx,true_label,pred_label,correct,confidence
0,3,0,0,3.9672882556915283
1,8,0,0,4.510801792144775
2,8,0,0,2.8432624340057373
3,0,0,1,1.8233014345169067
4,6,0,0,4.324985027313232
5,6,2,0,1.7057421207427979
6,1,0,0,0.4967128038406372
7,6,2,0,1.5792129039764404
8,3,0,0,3.1781246662139893
9,1,0,0,3.9156038761138916
10,0,0,1,3.5320653915405273
11,9,0,0,2.9119021892547607
12,5,0,0,2.8741190433502197
13,7,2,0,3.6279613971710205
14,9,0,0,1.5878509283065796
15,8,0,0,4.506861209869385
16,5,0,0,3.4500133991241455
17,7,0,0,3.518332004547119
18,8,0,0,3.175581693649292
19,6,0,0,4.905387878417969
20,7,0,0,1.917339563369751
21,0,2,0,2.316352128982544
22,4,0,0,2.83990478515625
23,9,0,0,1.2111279964447021
24,5,0,0,4.994114398956299
25,2,0,0,3.6830074787139893
26,4,6,0,5.145779132843018
27,0,0,1,3.030992031097412
28,9,0,0,2.8345229625701904
29,6,0,0,5.328733921051025
30,6,0,0,2.843930721282959
31,5,0,0,4.749741077423096
32,4,0,0,5.738916873931885
33,5,2,0,2.9862964153289795
34,9,0,0,4.195868015289307
35,2,0,0,3.1972014904022217
36,4,0,0,4.223172187805176
37,1,0,0,1.9655996561050415
38,9,0,0,1.4623489379882812
39,5,0,0,3.1021273136138916
40,4,0,0,2.4792096614837646
41,6,2,0,1.6445225477218628
42,5,0,0,1.8418582677841187
43,6,0,0,1.280601143836975
44,0,0,1,2.6021857261657715
45,9,0,0,3.497215509414673
46,3,0,0,1.6295897960662842
47,9,0,0,4.459891319274902
48,7,0,0,3.365906000137329
49,6,2,0,1.946727991104126
50,9,0,0,2.635533094406128
51,8,2,0,2.9154324531555176
52,0,0,1,1.8458645343780518
53,3,6,0,2.851768732070923
54,8,0,0,4.462116718292236
55,8,0,0,5.659298896789551
56,7,0,0,2.3744540214538574
57,7,3,0,1.5913963317871094
58,4,0,0,3.716669797897339
59,6,2,0,1.691217303276062
60,7,0,0,5.03016996383667
61,3,2,0,1.4329150915145874
62,6,6,1,2.838117837905884
63,3,0,0,1.3374404907226562
64,6,0,0,2.59076189994812
65,2,6,0,2.7951250076293945
66,1,0,0,2.4783730506896973
67,2,0,0,2.5276708602905273
68,3,0,0,3.0695643424987793
69,7,0,0,3.0138356685638428
70,2,0,0,2.3235347270965576
71,6,0,0,3.060330390930176
72,8,0,0,2.1071388721466064
73,8,0,0,3.0191762447357178
74,0,2,0,1.2006717920303345
75,2,0,0,4.1491007804870605
76,9,0,0,4.309319972991943
77,3,0,0,2.2363524436950684
78,3,0,0,3.3071138858795166
79,8,0,0,2.7052879333496094
80,8,0,0,1.921473503112793
81,1,0,0,3.7314815521240234
82,1,0,0,4.491193771362305
83,7,0,0,2.6028177738189697
84,2,0,0,3.0310540199279785
85,5,0,0,2.362790822982788
86,2,0,0,4.5630412101745605
87,7,0,0,3.02543568611145
88,8,0,0,2.1973440647125244
89,9,0,0,3.1885931491851807
90,0,0,1,3.1845738887786865
91,3,0,0,3.787651300430298
92,8,0,0,3.485036611557007
93,6,0,0,1.4286528825759888
94,4,0,0,2.7020676136016846
95,6,0,0,3.317354917526245
96,6,6,1,6.426822185516357
97,0,0,1,4.423178672790527
98,0,0,1,3.7924158573150635
99,7,0,0,3.823918104171753
100,4,0,0,4.498072147369385
101,5,0,0,3.202531576156616
102,6,6,1,4.2339887619018555
103,3,0,0,3.1779491901397705
104,1,0,0,2.1620066165924072
105,1,0,0,1.2945451736450195
106,3,0,0,4.361577033996582
107,6,6,1,2.6612510681152344
108,8,0,0,2.6963491439819336
109,7,0,0,3.7771642208099365
110,4,6,0,2.8581862449645996
111,0,0,1,2.263392210006714
112,6,0,0,4.709468841552734
113,2,0,0,3.176182508468628
114,1,0,0,4.839308738708496
115,3,0,0,3.624284029006958
116,0,0,1,2.903550863265991
117,4,2,0,2.326820135116577
118,2,2,1,0.502115786075592
119,7,0,0,3.9887306690216064
120,8,0,0,2.1273069381713867
121,3,0,0,4.270144939422607
122,1,2,0,1.3027759790420532
123,2,0,0,3.4309680461883545
124,8,0,0,4.666752815246582
125,0,0,1,4.022073268890381
126,8,0,0,4.875077724456787
127,3,6,0,3.5167126655578613
128,5,0,0,3.2136008739471436
129,2,0,0,3.599005937576294
130,4,0,0,5.411839485168457
131,1,0,0,1.9812393188476562
132,8,0,0,2.3858373165130615
133,9,0,0,2.382178544998169
134,1,0,0,4.897932529449463
135,2,0,0,2.077543020248413
136,9,0,0,0.9089985489845276
137,7,0,0,2.8204219341278076
138,2,0,0,2.0558669567108154
139,9,0,0,1.8258949518203735
140,6,0,0,3.5154104232788086
141,5,0,0,1.7682956457138062
142,6,0,0,2.3336181640625
143,3,0,0,3.0777852535247803
144,8,0,0,3.269385576248169
145,7,0,0,2.9882736206054688
146,6,0,0,1.4203722476959229
147,2,2,1,2.5157437324523926
148,5,0,0,2.7456517219543457
149,2,0,0,1.5853320360183716
150,8,0,0,0.9698452353477478
151,9,0,0,3.669461488723755
152,6,0,0,3.1051578521728516
153,0,0,1,2.217014789581299
154,0,0,1,4.176173210144043
155,5,0,0,3.4168741703033447
156,2,0,0,2.413086414337158
157,9,0,0,2.156453847885132
158,5,0,0,5.096522808074951
159,4,0,0,4.135118007659912
160,2,0,0,1.575383186340332
161,1,0,0,1.8050445318222046
162,6,0,0,1.6487306356430054
163,6,0,0,0.8138214349746704
164,8,0,0,2.8455746173858643
165,4,0,0,6.285430431365967
166,8,0,0,1.2556240558624268
167,4,0,0,3.5325706005096436
168,5,0,0,2.732050657272339
169,0,0,1,3.3258678913116455
170,9,0,0,3.6555116176605225
171,9,0,0,2.1591899394989014
172,9,0,0,2.221449613571167
173,8,0,0,2.2986690998077393
174,9,0,0,1.729148030281067
175,9,0,0,3.7167763710021973
176,3,0,0,4.263195991516113
177,7,0,0,-0.03618204593658447
178,5,0,0,5.033783435821533
179,0,0,1,1.2260907888412476
180,0,0,1,2.093745470046997
